key,enabled,identity,password,username
user-account-assistant-01,true,"UserIdentity{name: 'Assistant1', surname: 'Acme', email: 'assistant1@acme.com'}",assistant1,assistant1
user-account-assistant-02,true,"UserIdentity{name: 'Assistant2', surname: 'Acme', email: 'assistant2@acme.com'}",assistant2,assistant2
user-account-lecturer-01,true,"UserIdentity{name: 'Lecturer1', surname: 'Acme', email: 'lecturer1@acme.com'}",lecturer1,lecturer1
user-account-lecturer-02,true,"UserIdentity{name: 'Lecturer2', surname: 'Acme', email: 'lecturer2@acme.com'}",lecturer2,lecturer2
user-account-auditor-01,true,"UserIdentity{name: 'Auditor1', surname: 'Acme', email: 'auditor1@acme.com'}",auditor1,auditor1
user-account-auditor-02,true,"UserIdentity{name: 'Auditor2', surname: 'Acme', email: 'auditor2@acme.com'}",auditor2,auditor2
user-account-auditor-03,true,"UserIdentity{name: 'Auditor3', surname: 'Acme', email: 'auditor3@acme.com'}",auditor3,auditor3
user-account-company-01,true,"UserIdentity{name: 'Company1', surname: 'Acme', email: 'company1@acme.com'}",company1,company1
user-account-company-02,true,"UserIdentity{name: 'Company2', surname: 'Acme', email: 'company2@acme.com'}",company2,company2
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Acme', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Acme', email: 'administrator2@acme.com'}",administrator2,administrator2

user-account-student-01,true,"UserIdentity{name: 'student1', surname: '1', email: 'student1@alum.us.es'}",student1,student1
user-account-student-02,true,"UserIdentity{name: 'student2', surname: '2', email: 'student2@alum.us.es'}",student2,student2
user-account-student-03,true,"UserIdentity{name: 'student1', surname: '1', email: 'student3@alum.us.es'}",student3,student3
user-account-student-04,true,"UserIdentity{name: 'student2', surname: '2', email: 'student4@alum.us.es'}",student4,student4

